product_id,product_name,product_type,product_description,minimum_rating,price,price_range,inventory,in_stock
P0001,NovaTech Headphones Mini,headphones,"fast charging, stainless steel, USB-C",5.0,404.52,$300–$599,4,True
P0002,Aster Power bank Pro,power bank,"fast charging, polycarbonate body, USB-C",3.8,26.6,under $100,26,True
P0003,Qubit Power bank Pro,power bank,"water resistant, aluminum frame, NFC",4.1,126.63,$100–$299,7,True
P0004,Aster Smartphone Pro,smartphone,"smartphone with AMOLED display, dual-SIM, polycarbonate body, USB-C",4.3,823.17,$600–$899,8,True
P0005,BlueLeaf Phone case Neo,phone case,"fast charging, polycarbonate body, microSD slot",3.6,49.89,under $100,11,True
P0006,Aquila Laptop Max,laptop,"laptop with IPS display, wireless charging, recycled materials, microSD slot",4.1,1672.3,$900+,39,True
P0007,Futura Charger Go,charger,"noise cancellation, polycarbonate body, USB-C",4.1,35.31,under $100,15,True
P0008,BlueLeaf Phone case Neo,phone case,"wireless charging, stainless steel, USB-C",3.0,32.23,under $100,21,True
P0009,Aquila Laptop Mini,laptop,"laptop with IPS display, wireless charging, recycled materials, USB-C",4.7,913.43,$900+,21,True
P0010,Aquila Laptop Edge,laptop,"laptop with AMOLED display, MagSafe-compatible, recycled materials, NFC",4.5,2099.28,$900+,20,True
P0011,Acme Laptop Air,laptop,"laptop with OLED display, 5G support, recycled materials, microSD slot",3.7,1500.79,$900+,4,True
P0012,Zenro Camera Pro,camera,"noise cancellation, aluminum frame, NFC",4.0,1893.17,$900+,22,True
P0013,Aster Smartphone Air,smartphone,"smartphone with Retina display, dual-SIM, recycled materials, USB-C",4.4,459.94,$300–$599,15,True
P0014,Solix Tablet Mini,tablet,"tablet with Retina display, 5G support, recycled materials, microSD slot",3.9,639.55,$600–$899,8,True
P0015,Aster Camera Lite,camera,"water resistant, polycarbonate body, USB-C",4.0,349.37,$300–$599,9,True
P0016,Futura Charger Lite,charger,"noise cancellation, recycled materials, microSD slot",3.2,28.39,under $100,0,False
P0017,Futura Phone case Ultra,phone case,"long battery life, recycled materials, NFC",4.4,57.42,under $100,32,True
P0018,Qubit Camera Mini,camera,"dual-SIM, aluminum frame, Lightning",4.2,386.37,$300–$599,40,True
P0019,Aster Laptop Go,laptop,"laptop with E-Ink display, long battery life, aluminum frame, USB-C",4.3,908.38,$900+,21,True
P0020,NovaTech Phone case Neo,phone case,"long battery life, aluminum frame, Lightning",3.2,10.58,under $100,23,True
P0021,Qubit Phone case Lite,phone case,"MagSafe-compatible, recycled materials, USB-C",5.0,39.89,under $100,22,True
P0022,Solix Laptop Go,laptop,"laptop with OLED display, noise cancellation, aluminum frame, microSD slot",4.2,1512.75,$900+,19,True
